"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"EC VOTER
COUNTS",ANALYZED VOTER COUNT
1,01,APAC,002,KWANIA COUNTY,01,ADUKU,01,ADYEDA,01,ADYEDA CENTRE,134,143,,277,277
2,01,APAC,002,KWANIA COUNTY,01,ADUKU,01,ADYEDA,02,APORWEGI P.7 SCHOOL,379,323,,703,702
3,01,APAC,002,KWANIA COUNTY,01,ADUKU,01,ADYEDA,03,ADYEDA IMALO,164,157,,322,321
4,01,APAC,002,KWANIA COUNTY,01,ADUKU,02,ALIRA,01,ALIRA B,461,411,,872,872
5,01,APAC,002,KWANIA COUNTY,01,ADUKU,02,ALIRA,02,AKOT  A,386,364,,750,750
6,01,APAC,002,KWANIA COUNTY,01,ADUKU,02,ALIRA,03,OLEKE,443,383,,826,826
7,01,APAC,002,KWANIA COUNTY,01,ADUKU,02,ALIRA,04,AKWODONG,262,244,,507,506
8,01,APAC,002,KWANIA COUNTY,01,ADUKU,07,ONGOCENG,01,AKWON,416,376,,792,792
9,01,APAC,002,KWANIA COUNTY,01,ADUKU,07,ONGOCENG,02,ANGINYI,236,211,,449,447
10,01,APAC,002,KWANIA COUNTY,01,ADUKU,07,ONGOCENG,03,"ALYELI COMMUNITY
CENTRE",265,223,,489,488
11,01,APAC,002,KWANIA COUNTY,01,ADUKU,07,ONGOCENG,04,ABALOKWERI,356,314,,670,670
12,01,APAC,002,KWANIA COUNTY,01,ADUKU,08,ABOKO,01,AORA,281,248,,532,529
13,01,APAC,002,KWANIA COUNTY,01,ADUKU,08,ABOKO,02,AMIA P.7 SCHOOL,442,394,,836,836
14,01,APAC,002,KWANIA COUNTY,01,ADUKU,08,ABOKO,03,ODEO CORNER,407,379,,786,786
15,01,APAC,002,KWANIA COUNTY,01,ADUKU,08,ABOKO,04,ABOKO PRI. SCHOOL,377,304,,683,681
16,01,APAC,002,KWANIA COUNTY,01,ADUKU,08,ABOKO,05,WIGWENG,300,256,,559,556
17,01,APAC,002,KWANIA COUNTY,01,ADUKU,08,ABOKO,06,ALEBE,258,232,,490,490
18,01,APAC,002,KWANIA COUNTY,01,ADUKU,25,APIRE,01,APIRE P.7 SCHOOL A,245,238,,483,483
19,01,APAC,002,KWANIA COUNTY,01,ADUKU,25,APIRE,02,ANGOLENYANG,436,419,,859,855
20,01,APAC,002,KWANIA COUNTY,01,ADUKU,25,APIRE,03,ACUT,381,353,,735,734
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
21,01,APAC,002,KWANIA COUNTY,01,ADUKU,25,APIRE,04,APIRE P.7 SCHOOL B,254,239,,493,493
22,01,APAC,002,KWANIA COUNTY,02,CAWENTE,16,ATONGTIDI,01,"CHAWENTE PRIMARY
SCHOOL",246,219,,469,465
23,01,APAC,002,KWANIA COUNTY,02,CAWENTE,16,ATONGTIDI,02,AMWANGA P.7 SCHOOL,467,423,,894,890
24,01,APAC,002,KWANIA COUNTY,02,CAWENTE,16,ATONGTIDI,03,CHAWENTE  S S,254,269,,527,523
25,01,APAC,002,KWANIA COUNTY,02,CAWENTE,16,ATONGTIDI,05,"ACAMANUMU CORNER
DAIRY",190,157,,347,347
26,01,APAC,002,KWANIA COUNTY,02,CAWENTE,17,ACENLWORO,01,GOI PRIMARY SCHOOL,356,312,,668,668
27,01,APAC,002,KWANIA COUNTY,02,CAWENTE,17,ACENLWORO,02,"APWORI HEALTH
CENTRE III",406,327,,736,733
28,01,APAC,002,KWANIA COUNTY,02,CAWENTE,17,ACENLWORO,03,"WIGWENG B NURSERY
SCHOOL",234,160,,394,394
29,01,APAC,002,KWANIA COUNTY,02,CAWENTE,17,ACENLWORO,04,"BAR ORYANG CHURCH
OF UGANDA",298,263,,562,561
30,01,APAC,002,KWANIA COUNTY,02,CAWENTE,18,ATULE,01,BODA P.7 SCHOOL,417,421,,838,838
31,01,APAC,002,KWANIA COUNTY,02,CAWENTE,18,ATULE,02,ABAPIRI P 7 SCHOOL,464,426,,890,890
32,01,APAC,002,KWANIA COUNTY,02,CAWENTE,18,ATULE,03,ATULE P.7 SCHOOL,195,201,,396,396
33,01,APAC,002,KWANIA COUNTY,02,CAWENTE,19,ALIDO,01,"CHAWENTE SUB‐
COUNTY HQRTS",304,280,,584,584
34,01,APAC,002,KWANIA COUNTY,02,CAWENTE,19,ALIDO,02,ABOLI MARKET,447,396,,843,843
35,01,APAC,002,KWANIA COUNTY,02,CAWENTE,19,ALIDO,03,"ALAKET PRIMARY
SCHOOL",258,236,,494,494
